date,group,home_team,away_team,home_score,away_score,status
2026-06-11,A,Mexico,South Africa,2,0,Finished
2026-06-11,A,South Korea,Czechia,2,1,Finished
2026-06-12,B,Canada,Bosnia and Herzegovina,,,Upcoming
2026-06-12,D,United States,Paraguay,,,Upcoming
2026-06-13,B,Qater,Switzerland,,,Upcoming
2026-06-13,C,Brazil,Morocco,,,Upcoming
2026-06-13,C,Haiti,Scotland,,,Upcoming
2026-06-13,D,Australia,Turkey,,,Upcoming
2026-06-14,E,Germany,Curacao,,,Upcoming
2026-06-14,F,Netherlands,Japan,,,Upcoming
2026-06-14,E,Ivory Coast,Ecuador,,,Upcoming
2026-06-14,F,Sweden,Tunisia,,,Upcoming
2026-06-15,H,Spain,Cape Verde,,,Upcoming
2026-06-15,G,Belgium,Egypt,,,Upcoming
2026-06-15,H,Saudi Arabia,Uruguay,,,Upcoming
2026-06-15,G,Iran,New Zealand,,,Upcoming
2026-06-16,I,France,Senegal,,,Upcoming
2026-06-16,I,Iraq,Norway,,,Upcoming
2026-06-16,J,Argentina,Algeria,,,Upcoming
2026-06-16,J,Austria,Jordan,,,Upcoming
2026-06-17,K,Portugal,Congo,,,Upcoming
2026-06-17,L,England,Croatia,,,Upcoming
2026-06-17,L,Ghana,Panama,,,Upcoming
2026-06-17,K,Uzbekistan,Colombia,,,Upcoming
