Team,Group,Rank,Points,Played,Wins,Draws,Losses,Goal Difference,Goals For,Goals Against
Mexico,A,0,3,1,1,0,0,2,2,0
South Korea,A,0,3,1,1,0,0,1,2,1
Czechia,A,0,0,1,0,0,1,-1,1,2
South Africa,A,0,0,1,0,0,1,-2,0,2
Canada,B,0,1,1,0,1,0,0,1,1
Bosnia and Herzegovina,B,0,1,1,0,1,0,0,1,1
Qatar,B,0,1,1,0,1,0,0,1,1
Switzerland,B,0,1,1,0,1,0,0,1,1
Brazil,C,0,1,1,0,1,0,0,1,1
Morocco,C,0,1,1,0,1,0,0,1,1
Haiti,C,0,0,1,0,0,1,-1,0,1
Scotland,C,0,3,1,1,0,0,1,1,0
United States,D,0,3,1,1,0,0,3,4,1
Paraguay,D,0,0,1,0,0,1,-3,1,4
Australia,D,0,3,1,1,0,0,2,2,0
Turkey,D,0,0,1,0,0,1,-2,0,2
Germany,E,0,3,1,1,0,0,6,7,1
Curacao,E,0,0,1,0,0,1,-6,1,7
Ivory Coast,E,0,3,1,1,0,0,1,1,0
Ecuador,E,0,0,1,0,0,1,-1,0,1
Netherlands,F,0,1,1,0,1,0,0,2,2
Japan,F,0,1,1,0,1,0,0,2,2
Sweden,F,0,3,1,1,0,0,4,5,1
Tunisia,F,0,0,1,0,0,1,-4,1,5
Belgium,G,0,0,0,0,0,0,0,0,0
Egypt,G,0,0,0,0,0,0,0,0,0
Iran,G,0,0,0,0,0,0,0,0,0
New Zealand,G,0,0,0,0,0,0,0,0,0
Spain,H,0,0,0,0,0,0,0,0,0
Cape Verde,H,0,0,0,0,0,0,0,0,0
Saudi Arabia,H,0,0,0,0,0,0,0,0,0
Uruguay,H,0,0,0,0,0,0,0,0,0
France,I,0,0,0,0,0,0,0,0,0
Senegal,I,0,0,0,0,0,0,0,0,0
Iraq,I,0,0,0,0,0,0,0,0,0
Norway,I,0,0,0,0,0,0,0,0,0
Argentina,J,0,0,0,0,0,0,0,0,0
Algeria,J,0,0,0,0,0,0,0,0,0
Austria,J,0,0,0,0,0,0,0,0,0
Jordan,J,0,0,0,0,0,0,0,0,0
Portugal,K,0,0,0,0,0,0,0,0,0
Congo,K,0,0,0,0,0,0,0,0,0
Uzbekistan,K,0,0,0,0,0,0,0,0,0
Colombia,K,0,0,0,0,0,0,0,0,0
England,L,0,0,0,0,0,0,0,0,0
Croatia,L,0,0,0,0,0,0,0,0,0
Ghana,L,0,0,0,0,0,0,0,0,0
Panama,L,0,0,0,0,0,0,0,0,0
